tgl_transaksi,kd_faktur_lpb,kd_barang,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
3/2/2026,26000237,QOPLO03,"Oplosan 550/60 EC 20 X 400 ml",1/1/2030,540,2601032,14/03/2026,1
3/2/2026,26000237,QMRQL02,"Mr. Qlett 50 X 50 ml*",1/1/2029,500,2601032,14/03/2026,1
3/2/2026,26000237,QOPLO03,"Oplosan 550/60 EC 20 X 400 ml",1/1/2030,460,2601032,14/03/2026,1
3/2/2026,26000237,QWEND01,"Wendry 75 WP 20 X 500 gr (M2U)",1/1/2029,15000,2601032,14/03/2026,1
3/2/2026,26000237,QWEND01,"Wendry 75 WP 20 X 500 gr (M2U)",1/11/2028,1928,2601032,14/03/2026,1
3/2/2026,26000237A,QWEND01,"Wendry 75 WP 20 X 500 gr (M2U)",1/11/2028,12,2601032,14/03/2026,1
4/2/2026,26000238,QPUPU04,"Pupuk Fosfat 50 kg MPS*",1/1/2028,300,001/SJ-MPS/BGH/II/26,14/03/2026,1
4/2/2026,26000239,QZAPA01,"ZA Pak Tani 50 kg",1/9/2028,120,S/2601/92633,14/03/2026,1
4/2/2026,26000240,QPRIM29,"Prima-Lima 555 SL 20 X 1 ltr + 1 pack Penta-Furon 5 gr",1/12/2029,7000,8SA2600374,14/03/2026,1
4/2/2026,26000241,QCALC03,"Calcium D-Diana 20 X 1 kg*",1/1/2031,5300,"40.02.2026 (bonus program tahunan tahun 2025 tahap 2)",14/03/2026,1
5/2/2026,26000242,QBENA01,"Benang Pe mlg*",1/1/1000,5000,3/II/26,14/03/2026,1
5/2/2026,26000243,QSOFI04,"Sofia 200/70/30 OD 8 X 1 ltr*",1/1/2031,400,DO.2026.01.00083,14/03/2026,1
6/2/2026,26000244,QDECI02,"Decis 25 EC 100 X 50 ml",1/2/2030,19600,6128067219,14/03/2026,1
6/2/2026,26000244,QDECI02,"Decis 25 EC 100 X 50 ml",1/1/2030,400,6128067219,14/03/2026,1
6/2/2026,26000245,QCONF02,"Confidor 200 SL 100 X 60 ml",1/1/2030,6000,6128067205,14/03/2026,1
6/2/2026,26000246,QSIKL02,"Siklon 5.7 WG 4 X 40 X 25 gr*",1/1/2031,20640,"25/26 001891 -01",14/03/2026,1
6/2/2026,26000246,QSIKL02,"Siklon 5.7 WG 4 X 40 X 25 gr*",1/11/2030,6720,"25/26 001891 -01",14/03/2026,1
6/2/2026,26000246,QSIKL02,"Siklon 5.7 WG 4 X 40 X 25 gr*",1/8/2030,96,"25/26 001891 -01",14/03/2026,1
6/2/2026,26000247,QGIBG04,"Gibgro 20 T 25 X 10 X 5 gr",1/1/2031,8900,"25/26 001887 -02",14/03/2026,1
6/2/2026,26000248,QSINE02,"Sinergy 300 EC 40 X 250 ml",1/1/2031,4440,"25/26 001890 -02",14/03/2026,1
6/2/2026,26000249,QGIBA02,"Gibas 240 SL 4 X 5 ltr*",1/12/2030,16,DO/0001/0226/0049,14/03/2026,1
6/2/2026,26000249,QKRES05,"Kresnatop 500 SC 4 X 5 ltr",1/1/2031,40,DO/0001/0226/0049,14/03/2026,1
6/2/2026,26000249,QKRES01,"Kresnadan 3G 10 X 2 kg",1/1/2031,460,DO/0001/0226/0049,14/03/2026,1
6/2/2026,26000250,QKUPR02,"Kuproxat 345 SC 40 X 200 ml",1/1/2031,3920,"25/26 001889 -02",14/03/2026,1
6/2/2026,26000250A,QKUPR01,"Kuproxat 345 SC 20 X 500 ml",1/2/2031,3990,"25/26 001889 -02",14/03/2026,1
6/2/2026,26000250A,QKUPR01,"Kuproxat 345 SC 20 X 500 ml",1/1/2031,780,"25/26 001889 -02",14/03/2026,1
6/2/2026,26000251,QCHAM02,"Champion 77 WP 14 X 1 kg",1/9/2030,909,25/26-000105-05,14/03/2026,1
6/2/2026,26000252,QBION02,"Bionik 400 EC 20 X 500 ml*",1/1/2031,2340,DO/0001/0226/0048,14/03/2026,1
6/2/2026,26000253,QCURA04,"Curaterr 3 GR 10 X 2 kg",1/1/1000,2650,"119/FNC-SJ/GDJASCO/2/2026/Quota SHIP TO KEP",14/03/2026,1
6/2/2026,26000254,QBEST07,"Bestani OK 300 SL 20 X 1 ltr",1/1/2031,1880,SJR/0226/0012,14/03/2026,1
6/2/2026,26000254A,QGRAN04,"Grandally 25 WP 5 gr",1/1/1000,2180,SJR/0226/0012,14/03/2026,1
6/2/2026,26000254A,QMAGI02,"Magicxone 138 SL 4 X 5 ltr",1/1/2031,200,SJR/0226/0012,14/03/2026,1
6/2/2026,26000254A,QPASS01,"Passxone 276 SL 20 X 1 ltr*",1/1/2031,300,SJR/0226/0012,14/03/2026,1
6/2/2026,26000255,QBION03,"Bionik 400 EC 50 X 100 ml*",1/2/2031,10300,DO/0001/0226/0161,14/03/2026,1
6/2/2026,26000256,QTANG08,"Tangki Yoto 6 X 5 ltr",1/1/1000,234,12600042,14/03/2026,1
6/2/2026,26000256A,QTANG12,"Tangki Yoto 15 X 2 ltr",1/1/1000,405,12600042,14/03/2026,1
6/2/2026,26000256B,QTANG51,"Tangki Dragon Star 16 ltr baterai (Hijau)*",1/1/1000,300,12600042,14/03/2026,1
7/2/2026,26000257,QZNUR01,"ZNURECOTE 50 kg  ",1/1/2029,92,S/2601/93302,14/03/2026,1
7/2/2026,26000258,QAMUR02,"Amuron 70 EC 40 X 250 ml*",1/1/2031,800,SJ010338,14/03/2026,1
