id;kd_do;kode_barang;kd_faktur;tgl_transaksi;nama_barang;expired_date;qty;qty_pcs;qty_box;no_lot;exp_date
142;KD142;QJAGU17;B26008594;2026-07-04;Jagung Pertiwi 3 20 X 1 kg;2027-04-01;80;0;4;20;2027-04-01
143;KD143;QJAGU25;B26008595;2026-07-04;Jagung Pertiwi 6 20 X 1 kg;2027-04-01;100;0;5;20;2027-04-01
144;KD144;QROUN03;B26008598;2026-07-04;Round Up 486 SL 4 X 4 ltr;2031-03-01;40;0;10;4;2031-03-01
145;KD145;QMULS101;B26008600;2026-07-04;Mulsa Hanoman 80 cm X 18 kg (Roll);1000-01-01;21;21;0;1;1000-01-01
146;KD146;QSPRA44;B26008603;2026-07-04;Sprayer Elektrik Joeragan Tipe 3 16 L Battery;1000-01-01;3;3;0;1;1000-01-01
147;KD147;QQIUV04;B26008603;2026-07-04;Qiuvita Hijau 32.11.11 20 X 500 gr;2029-05-01;20;0;1;20;2029-05-01
148;KD148;QFLAS02;B26008603;2026-07-04;Flashoot 300 EC 80 X 100 ml;2031-06-01;160;0;2;80;2031-06-01
149;KD149;QVAYE03;B26008605;2026-07-04;Vayego 200 SC 50 X 100 ml;2030-04-01;100;0;2;50;2030-04-01
150;KD150;QSPYK03;B26008606;2026-07-04;Spyker 135 SL 20 ltr;2031-04-01;3;3;0;1;2031-04-01
151;KD151;QLUDE01;B26008607;2026-07-04;Ludes 50 EC 50 X 100 ml;2029-06-01;50;0;1;50;2029-06-01
152;KD152;QLIDI04;B26008607;2026-07-04;Liding 240 EC 64 X 90 ml;2031-04-01;64;0;1;64;2031-04-01
153;KD153;QNPKN07;B26008609;2026-07-04;NPK Novatec 12-12-17 5 X 5 kg;2031-02-01;5;0;1;5;2031-02-01
154;KD154;QBUNI01;B26008609;2026-07-04;Buniken 60/10 WP 20 X 100 gr;2028-01-01;40;0;2;20;2028-01-01
155;KD155;QPOLY24;B26008610;2026-07-04;Polybag Alpen 20/40 X 40 cm - 25 X 1 kg;1000-01-01;25;0;1;25;1000-01-01
156;KD156;QATON07;B26008610;2026-07-04;Atonik 6.0 L 15 X 500 ml;2031-06-01;45;0;3;15;2031-06-01
157;KD157;QKALI01;B26008610;2026-07-04;Kaliandra 482 EC 20 X 400 ml;2031-06-01;300;0;15;20;2031-06-01
158;KD158;QMULS58;B26008611;2026-07-04;Mulsa Monesa 60 cm X 18 kg (Roll);1000-01-01;18;18;0;1;1000-01-01
159;KD159;QMULS58;B26008611;2026-07-04;Mulsa Monesa 60 cm X 18 kg (Roll);1000-01-01;52;52;0;1;1000-01-01
160;KD160;QBAME01;B26008611;2026-07-04;Bamex 18 EC 100 X 50 ml (M2U);2029-01-01;300;0;3;100;2029-01-01
161;KD161;QBAME04;B26008611;2026-07-04;Bamex 18 EC 50 X 100 ml (M2U);2029-01-01;150;0;3;50;2029-01-01
162;KD162;QBAME03;B26008611;2026-07-04;Bamex 18 EC 20 X 200 ml (M2U);2029-01-01;60;0;3;20;2029-01-01
163;KD163;QAGUS01;B26008611;2026-07-04;Agus 500 SC 100 X 100 ml;2029-04-01;300;0;3;100;2029-04-01
164;KD164;QFLON01;B26008612;2026-07-04;Flonipro 75/75 SE 50 X 100 ml;2031-03-01;100;0;2;50;2031-03-01
165;KD165;QFLON02;B26008612;2026-07-04;Flonipro 75/75 SE 40 X 250 ml;2031-02-01;40;0;1;40;2031-02-01
166;KD166;QSTAR13;B26008613;2026-07-04;Stardon 60 WP 10 X 8 X 100 gr;2031-02-01;160;0;2;80;2031-02-01
167;KD167;QMETS01;B26008614;2026-07-04;Metsulindo Plus 80 WP 8 X 25 X 40 gr;2028-01-01;1000;0;5;200;2028-01-01
168;KD168;QWIND08;B26008615;2026-07-04;Winda 250 SC 10 X 500 ml;2030-09-01;30;0;3;10;2030-09-01
169;KD169;QMULS22;B26008616;2026-07-04;Mulsa Karisma 60 cm / 10 kg (Roll);1000-01-01;35;35;0;1;1000-01-01
170;KD170;QMULS22;B26008617;2026-07-04;Mulsa Karisma 60 cm / 10 kg (Roll);1000-01-01;25;25;0;1;1000-01-01
171;KD171;QMULS22;B26008617;2026-07-04;Mulsa Karisma 60 cm / 10 kg (Roll);1000-01-01;35;35;0;1;1000-01-01
172;KD172;QBUNC02;B26008618;2026-07-04;Buncis Lebat-3 40 X 500 gr;2027-07-19;20;20;0;40;2027-07-19
173;KD173;QBAME03;B26008619;2026-07-04;Bamex 18 EC 20 X 200 ml (M2U);2029-01-01;20;0;1;20;2029-01-01
