Kode	Nama	Stock Minimal	Qty All Gudang	Panjang	Lebar	Tinggi	Berat	Unit	Kode Supplier	Supplier	Group1	Group2	Group3	Merkbarang	Bahan Aktif	Fokus	Noindex
="ASG0102"	SG.01 200 X 100 gr M2U (Sample)	0	0	200	1	1	112.8	Pack	MAJUM01	Maju Makmur Utomo, PT	Pupuk	Pupuk	SG 01				3827
="ASG0201"	SG.02 200 X 100 gr M2U (Sample)	0	0	200	1	1	112.8	Pack	MAJUM01	Maju Makmur Utomo, PT	Pupuk	Pupuk	SG.02				4212
="ASG0202"	SG.02 30 X 500 gr (M2U)	0	0	30	1	1	1	Pack	MAJUM01	Maju Makmur Utomo, PT	Pupuk	Pupuk	SG.02				4336
="ASG0301"	SG.03 200 X 100 gr M2U (Sample)	0	0	200	1	1	112.8	Pack	MAJUM01	Maju Makmur Utomo, PT	Pupuk	Pupuk	SG.03				4213
="ASG0501"	SG.05 30 X 500 gr (M2U)*	0	0	30	1	1	545.33	Pack	MAJUM01	Maju Makmur Utomo, PT	Pupuk	Pupuk	SG 05			B	483
="ASG0502"	SG.05 200 X 100 gr M2U (Sample)	0	0	200	1	1	112.8	Pack	MAJUM01	Maju Makmur Utomo, PT	Pupuk	Pupuk	SG 05				4216
="ASG0503"	SG.05 30 X 500 gr (M2U)*	0	0	30	1	1	1	Btl			No Group	No Group	No Group	SG 05			8415
="ASG0601"	SG.06 200 X 100 gr M2U (Sample)	0	0	200	1	1	112.8	Pack	MAJUM01	Maju Makmur Utomo, PT	Pupuk	Pupuk	SG.06				4217
="ASHAD01"	Shadow 50 EC 30 X 500 ml	0	0	30	1	1	0	Btl	JOHNN01	Johnny Jaya Makmur, PT	Obat	Insektisida	No Group		Permetrin		2286
="ASHAD02"	Shadow 50 EC 50 X 80 ml	0	0	50	1	1	0	Btl	JOHNN01	Johnny Jaya Makmur, PT	Obat	Insektisida	No Group		Permetrin		484
