tgl_inputer,kd_faktur,kd_rute,salesman,kd_customer,kd_barang,nama_barang,qty,satuan,no_lot,tgl_exp,nominal_p,jtempo,upload_sts,data_sts,barang_sts
30/1/2026,D26001681,BLI-1,Zakia,SRIS01,QWEND01,"Wendry 75 WP 20 X 500 gr (M2U)",120,Pack,19163401,1/10/2028,5400000.0000351,30,1,1,1
30/1/2026,D26001682,KD-2,Zakia,DANA02,QPIRA01,"Piraklo 250 EC 100 X 100 ml*",500,Btl,PYR240725,1/8/2029,235249999.99996,30,1,1,1
30/1/2026,D26001682,KD-2,Zakia,DANA02,QPIRA02,"Piraklo 250 EC 40 X 250 ml*",800,Btl,PYR240725,1/8/2029,235249999.99996,30,1,1,1
30/1/2026,D26001682,KD-2,Zakia,DANA02,QDESA01,"Desanto 200 SL 100 X 100 ml*",500,Btl,NISL250320,1/6/2030,235249999.99996,30,1,1,1
30/1/2026,D26001682,KD-2,Zakia,DANA02,QDESA02,"Desanto 200 SL 40 X 250 ml*",400,Btl,NISL240401,1/6/2029,235249999.99996,30,1,1,1
30/1/2026,D26001683,SBY,Ariyani,BARO09,QNEOC02,"Neocron 80 OL 20 X 250 ml*",200,Btl,066220,1/12/2030,16200000.000005,30,1,1,1
30/1/2026,D26001684,JBR,Yuyun,FAST07,QDUMI01,"Dumil 40 SP 100 X 100 gr*",100,Pack,20250630,1/9/2028,1899999.9999883,30,1,1,1
30/1/2026,D26001685,BWI-2,Faris,EKAJ01,QSMK27,"Smk. Inden F1 12 X 10 X 20 gr",50,Pack,437012519,10/8/2026,5050000,30,1,1,1
30/1/2026,D26001686,BWI-2,Faris,EKAJ01,QJAGU95,"Jagung Bisi 235 20 X 1 kg",100,Pack,250911CF01,29/8/2026,8400000,30,1,1,1
30/1/2026,D26001687,BWI-2,Faris,EKAJ01,QTANG08,"Tangki Yoto 6 X 5 ltr",18,Pcs,0,1/1/1000,1889999.9999973,30,1,1,1
30/1/2026,D26001688,MD-1,Reni,RIZK05,QCABR02,"Cabrio 250 EC 48 X 100 ml",2448,Btl,S25043701,1/2/2028,311399999.99996,30,1,1,1
30/1/2026,D26001688,MD-1,Reni,RIZK05,QREGE09,"Regent 50 SC Red 24 X 250 ml",1200,Btl,2589Q09604,1/9/2027,311399999.99996,30,1,1,1
30/1/2026,D26001689,MD-1,Reni,RIZK05,QREGE09,"Regent 50 SC Red 24 X 250 ml",1032,Btl,2589Q11601,1/11/2027,340200000.00001,30,1,1,1
30/1/2026,D26001689,MD-1,Reni,RIZK05,QREGE09,"Regent 50 SC Red 24 X 250 ml",1200,Btl,2589Q11601,1/11/2027,340200000.00001,30,1,1,1
30/1/2026,D26001689,MD-1,Reni,RIZK05,QREGE09,"Regent 50 SC Red 24 X 250 ml",480,Btl,2589Q09604,1/9/2027,340200000.00001,30,1,1,1
30/1/2026,D26001689,MD-1,Reni,RIZK05,QREGE09,"Regent 50 SC Red 24 X 250 ml",888,Btl,2589Q09604,1/9/2027,340200000.00001,30,1,1,1
30/1/2026,D26001690,JBR,Yuyun,AGRO52,QATON08,"Atonik 6.0 L 50 X 100 ml",150,Btl,1111022225,1/11/2030,1875000.0000108,30,1,1,1
30/1/2026,D26001691,JLS,Yuyun,BUMI04,QGIBG03,"Gibgro 10 SP 25 X 40 X 1 gr",1000,Pack,2601001,1/1/2031,3650000.0000117,30,1,1,1
30/1/2026,D26001692,MLG,Ariyani,SUMB126,QJAGU13,"Jagung NK 212 20 X 1 kg",1000,Pack,21007435,4/1/2027,180500000,0,1,1,1
30/1/2026,D26001692,MLG,Ariyani,SUMB126,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",1000,Pack,20902956,5/10/2026,180500000,0,1,1,1
30/1/2026,D26001693,JLS,Yuyun,REST03,QVIAR02,"Viaron 80 WP 40 X 250 gr",40,Pack,50610026,1/6/2030,3019999.9999793,30,1,1,1
30/1/2026,D26001693,JLS,Yuyun,REST03,QCABR02,"Cabrio 250 EC 48 X 100 ml",15,Btl,S25043701,1/2/2028,3019999.9999793,30,1,1,1
30/1/2026,D26001694,JUT,Yuyun,MAJU09,QSPRA15,"Sprayer Elektrik Quda Karisma 16 ltr*",1,Pcs,0,1/1/1000,0,0,1,1,1
30/1/2026,D26001695,KD-2,Zakia,BERK64,QKRES07,"Kresnatop 500 SC 20 X 1 ltr",100,Btl,60113008,1/1/2031,13374999.99995,30,1,1,1
30/1/2026,D26001695,KD-2,Zakia,BERK64,QEMCL02,"Emclopir 300/20 EC 50 X 100 ml*",50,Btl,32102901NR,1/4/2028,13374999.99995,30,1,1,1
30/1/2026,D26001696,JLS,Ariyani,PUTR18,QJAGU92,"Jagung Bisi 18 20 X 1 kg (+Kaos)",100,Pack,251110BF07,6/11/2026,9900000,30,1,1,1
30/1/2026,D26001697,STB,Faris,SUMB06,QGAPL02,"Ga Plus 40 SL 30 X 15 X 35 ml*",450,Btl,I151025,1/10/2030,10574999.999973,60,1,1,1
30/1/2026,D26001698,JBR,Yuyun,TANI56,QJAGU04,"Jagung Bisi 2 20 X 1 kg",20,Pack,251030AF02,6/10/2026,1440000,30,1,1,1
30/1/2026,D26001699,JBR,Yuyun,TANI56,QDECI03,"Decis 25 EC 20 X 500 ml",1,Btl,PI41004017,1/1/2030,839499.99999369,30,1,1,1
30/1/2026,D26001699,JBR,Yuyun,TANI56,QDECI03,"Decis 25 EC 20 X 500 ml",1,Btl,PI41003865,1/8/2029,839499.99999369,30,1,1,1
30/1/2026,D26001699,JBR,Yuyun,TANI56,QDECI05,"Decis 25 EC 40 X 250 ml",4,Btl,PI41003869,1/8/2029,839499.99999369,30,1,1,1
30/1/2026,D26001699,JBR,Yuyun,TANI56,QDECI02,"Decis 25 EC 100 X 50 ml",20,Btl,PI41003963,1/11/2029,839499.99999369,30,1,1,1
30/1/2026,D26001700,KD-2,Zakia,SETI14,QVALL01,"Valley 10 x 1 kg*",20,Pack,PNB41003386,1/6/2030,1300000.0000288,30,1,1,1
30/1/2026,D26001701,JLS,Yuyun,TANI30,QMKP01,"MKP 20 X 1 kg",200,Pack,122025,1/12/2028,9599999.9999514,30,1,1,1
30/1/2026,D26001702,KD-2,Zakia,TOKO12,QVICT02,"Victory 80 WP 20 X 1 kg",20,Pack,F0425L1801,1/12/2027,8599999.9999523,0,1,1,1
30/1/2026,D26001702,KD-2,Zakia,TOKO12,QVICT03,"Victory 75 WP 20 X 1 kg",100,Pack,F0726A1501,1/1/2028,8599999.9999523,0,1,1,1
30/1/2026,D26001703,JUT,Faris,LEST16,QABAC03,"Abacel 18 EC 20 X 500 ml",20,Btl,5052084,1/7/2028,9100000.0000018,30,1,1,1
30/1/2026,D26001703,JUT,Faris,LEST16,QQIUM08,"Qiumex 36 EC 100 X 100 ml*",100,Btl,20251202,1/12/2030,9100000.0000018,30,1,1,1
30/1/2026,D26001703,JUT,Faris,LEST16,QQIUM06,"Qiumex 36 EC 40 X 250 ml*",40,Btl,20250806,1/8/2030,9100000.0000018,30,1,1,1
30/1/2026,D26001703,JUT,Faris,LEST16,QABAC07,"Abacel 18 EC 50 X 100 ml",50,Btl,25062025,1/6/2028,9100000.0000018,30,1,1,1
30/1/2026,D26001703,JUT,Faris,LEST16,QCOPC06,"Copcide 77 WP 100 X 100 gr",100,Pack,F1825L2301,1/12/2027,9100000.0000018,30,1,1,1
30/1/2026,D26001704,BWI-2,Faris,BARO67,QROUN01,"Round Up 486 SL 12 X 1 ltr",12,Btl,601006,1/1/2031,935999.99995676,0,1,1,1
30/1/2026,D26001705,BWI-2,Faris,BARO67,QJAGU92,"Jagung Bisi 18 20 X 1 kg (+Kaos)",20,Pack,251110BF07,6/11/2026,1980000,0,1,1,1
30/1/2026,D26001706,P-2,Safira,AGRO13,QCOBR04,"Cobra 15 EC 20 X 500 ml*",40,Btl,231216,1/3/2027,8190000.0000216,60,1,1,1
30/1/2026,D26001706,P-2,Safira,AGRO13,QPRIM23,"Prima-Clink 50 X 100 ml*",50,Btl,5.70E+12,1/5/2029,8190000.0000216,60,1,1,1
30/1/2026,D26001706,P-2,Safira,AGRO13,QASET02,"Asetor 250 EC 40 X 250 ml*",40,Btl,20230217,1/3/2029,8190000.0000216,60,1,1,1
30/1/2026,D26001707,P-2,Safira,MORO07,QSATG02,"Satgaz 75 WP Magic Blue 40 X 250 gr*",40,Pack,MBB07AQ,1/9/2029,1479999.9999667,0,1,1,1
30/1/2026,D26001708,JLS,Yuyun,ANGG01,QMKP01,"MKP 20 X 1 kg",40,Pack,122025,1/12/2028,1960000.0000342,30,1,1,1
30/1/2026,D26001709,SBY,Reni,MITR10,QROUN01,"Round Up 486 SL 12 X 1 ltr",24,Btl,601006,1/1/2031,3898200.0000081,30,1,1,1
30/1/2026,D26001709,SBY,Reni,MITR10,QGAND04,"Gandasil D 24 X 500 gr",6,Pack,BN5512,1/12/2028,3898200.0000081,30,1,1,1
30/1/2026,D26001709,SBY,Reni,MITR10,QABAC04,"Abacel 18 EC 40 X 250 ml",3,Btl,10072025,1/7/2028,3898200.0000081,30,1,1,1
30/1/2026,D26001709,SBY,Reni,MITR10,QAMIS02,"Amistartop 325 SC 50 X 100 ml",6,Btl,JAK5HS1234,1/8/2028,3898200.0000081,30,1,1,1
30/1/2026,D26001709,SBY,Reni,MITR10,QKLOP02,"Kloper 500 SL 12 X 1 ltr*",24,Btl,01ANT2025LY1126,1/1/2031,3898200.0000081,30,1,1,1
30/1/2026,D26001710,SBY,Reni,MITR10,QDEWA02,"Dewa Dewi 20 X 500 ml*",3,Btl,0,1/1/2031,201000.00001892,30,1,1,1
30/1/2026,D26001710,SBY,Reni,MITR10,QBACT02,"Bactocyn 150 AL 100 X 100 ml*",3,Btl,03032023,1/12/2029,201000.00001892,30,1,1,1
30/1/2026,D26001711,MD-1,Reni,ALAM01,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",2000,Pack,060382,1/9/2027,85000000.000023,30,1,1,1
30/1/2026,D26001711,MD-1,Reni,ALAM01,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",4200,Pack,060382,1/9/2027,85000000.000023,30,1,1,1
30/1/2026,D26001711,MD-1,Reni,ALAM01,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",2400,Pack,060366,1/8/2027,85000000.000023,30,1,1,1
